"year","N"
1996,20574.6812791353
1997,30067.4780149255
1998,31283.5219237961
1999,32636.3486742002
2000,27857.7007818799
2001,35070.9956995941
2002,27425.8656052747
2003,12301.4935162066
2004,9626.26212156436
2005,17915.6851142882
2006,13632.9554562749
2007,18591.2796928658
2008,23749.5400603834
2009,40848.9882939161
2010,28821.3231535266
2011,9891.54096321891
2012,37913.6796731268
2013,42021.080986077
2014,29678.3413177502
2015,28628.8744837604
2016,28527.987188471
2017,28132.4424329052
2018,19742.1390973476
2019,15369.079540232
