"year","B","Region"
1996,81799,"Norway_slope"
1997,82345,"Norway_slope"
1998,82717,"Norway_slope"
1999,104194,"Norway_slope"
2000,80587,"Norway_slope"
2001,94785,"Norway_slope"
2002,97607,"Norway_slope"
2003,109489,"Norway_slope"
2004,103620,"Norway_slope"
2005,86944,"Norway_slope"
2006,81839,"Norway_slope"
2007,88257,"Norway_slope"
2008,84909,"Norway_slope"
2009,108876,"Norway_slope"
2010,0,"Norway_slope"
2011,84968,"Norway_slope"
2012,0,"Norway_slope"
2013,63185,"Norway_slope"
2014,0,"Norway_slope"
2015,78013,"Norway_slope"
2016,0,"Norway_slope"
2017,59382,"Norway_slope"
2018,0,"Norway_slope"
2019,46967,"Norway_slope"
