"year","ship","trip","haul","code","species","kg","num","id","id.2","project","val","depth","div","stratum2","stratum"
1997,"PA",5,1,"CFB","Centroscyllium fabricii",1.4,9,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"GHL","Reinhardtius hippoglossoides",9,32,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"HAL","Hippoglossus hippoglossus",2.1,1,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"LIK","Liparis koefoedi (udgået)",0.1,1,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"PLA","Hippoglossoides platessoides",0.8,3,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"PRA","Natantia",0.4,NA,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"REB","Sebastes mentella",30.6,325,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"RHG","Macrourus berglax",0.2,1,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"RRD","Raja radiata",1.4,1,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,1,"SQT","Decapodiformes",0.1,6,"1997_1","1997_5_PA_1","GHLW","A",580.5,"1C",6,19
1997,"PA",5,2,"BEG","Benthosema glaciale",0.1,34,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"GHL","Reinhardtius hippoglossoides",18.4,37,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"LIK","Liparis koefoedi (udgået)",0.1,1,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"NOT","Notacanthus chemnitzii",0.2,1,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"PRA","Natantia",0.5,NA,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"REB","Sebastes mentella",25.8,149,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,2,"SQT","Decapodiformes",0.3,6,"1997_2","1997_5_PA_2","GHLW","A",669,"1C",8,20
1997,"PA",5,3,"CFB","Centroscyllium fabricii",0.2,1,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"GHL","Reinhardtius hippoglossoides",9.4,21,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"PCD","Paralepis coregonoides",0.1,1,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"PLA","Hippoglossoides platessoides",0.3,2,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"PRA","Natantia",0.4,NA,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"REB","Sebastes mentella",5.8,55,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,3,"SQT","Decapodiformes",0.1,5,"1997_3","1997_5_PA_3","GHLW","A",568.5,"1C",6,19
1997,"PA",5,4,"ARJ","Natantia non-pandaloidea",0.1,NA,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"BAT","Bathylagus euryops",0.1,11,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"GHL","Reinhardtius hippoglossoides",32,59,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"LMC","Lampanyctus macdonaldi",0.5,61,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"PCD","Paralepis coregonoides",0.1,1,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"PRA","Natantia",2,NA,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"REB","Sebastes mentella",7.5,34,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"RHG","Macrourus berglax",2,2,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"RNG","Coryphaenoides rupestris",0.2,7,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"SER","Serrivomer beanii",0.1,1,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,4,"SQT","Decapodiformes",0.2,7,"1997_4","1997_5_PA_4","GHLW","A",679.5,"1C",8,20
1997,"PA",5,5,"BAT","Bathylagus euryops",0.5,12,"1997_5","1997_5_PA_5","GHLW","A",689,"1C",8,20
1997,"PA",5,5,"GHL","Reinhardtius hippoglossoides",28.6,47,"1997_5","1997_5_PA_5","GHLW","A",689,"1C",8,20
1997,"PA",5,5,"LMC","Lampanyctus macdonaldi",1.3,103,"1997_5","1997_5_PA_5","GHLW","A",689,"1C",8,20
1997,"PA",5,5,"REB","Sebastes mentella",0.5,2,"1997_5","1997_5_PA_5","GHLW","A",689,"1C",8,20
1997,"PA",5,6,"ARJ","Natantia non-pandaloidea",0.7,NA,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"BEG","Benthosema glaciale",0.1,56,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"GHL","Reinhardtius hippoglossoides",7.8,36,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"LIK","Liparis koefoedi (udgået)",0.1,2,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"LMC","Lampanyctus macdonaldi",0.1,8,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"NOK","Notoscopelus kroyeri",0.2,12,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"ONN","Gaidropsarus ensis",0.1,4,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"PRA","Natantia",0.6,NA,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"REB","Sebastes mentella",0.5,4,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"RHG","Macrourus berglax",0.3,1,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,6,"SQT","Decapodiformes",0.1,8,"1997_6","1997_5_PA_6","GHLW","A",629.5,"1C",8,20
1997,"PA",5,7,"BAT","Bathylagus euryops",1.3,57,"1997_7","1997_5_PA_7","GHLW","A",737,"1C",8,20
1997,"PA",5,7,"BEG","Benthosema glaciale",0.5,151,"1997_7","1997_5_PA_7","GHLW","A",737,"1C",8,20
