"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_152.rds",3,2,5,1,1,4,13,199.556829647786,0,4
"run_151.rds",3,2,5,1,1,4,13,201.997306676632,2.440477028846,4
"run_21.rds",3,1,1,1,3,3,11,205.976818598444,6.419988950658,3
"run_212.rds",2,2,2,1,2,3,11,206.078299371197,6.521469723411,7
"run_206.rds",3,1,2,1,3,3,12,206.384896725354,6.82806707756799,4
"run_245.rds",3,1,2,3,1,3,12,206.472756817707,6.91592716992099,6
"run_205.rds",3,1,2,1,3,3,12,206.698484094073,7.14165444628699,4
"run_204.rds",3,1,2,1,3,3,12,206.793907999292,7.237078351506,3
"run_142.rds",2,3,5,2,1,4,14,206.954425731286,7.39759608349999,8
"run_150.rds",3,2,5,1,1,4,13,207.30544243537,7.74861278758399,3
"run_149.rds",3,2,5,1,1,4,13,207.309425485725,7.752595837939,3
"run_26.rds",2,2,1,1,2,3,10,207.715936392475,8.15910674468898,8
"run_88.rds",2,3,5,2,2,4,15,207.753941880662,8.19711223287601,8
"run_107.rds",4,1,5,1,4,4,16,207.912494507865,8.355664860079,9
"run_203.rds",3,1,2,1,3,3,12,208.154138983016,8.59730933522999,3
"run_68.rds",2,3,5,3,2,4,16,208.233169868522,8.67634022073599,7
"run_25.rds",2,2,1,1,2,3,10,208.316576972215,8.75974732442899,7
"run_160.rds",2,3,5,1,1,4,13,208.978185703708,9.42135605592199,8
"run_104.rds",2,3,5,1,2,4,14,209.374580299633,9.81775065184701,7
"run_85.rds",2,3,5,2,2,4,15,209.521090214271,9.964260566485,7
"run_28.rds",1,3,2,1,1,3,9,209.582404101459,10.025574453673,1
"run_46.rds",1,3,2,1,1,3,9,209.845133762008,10.288304114222,1
"run_213.rds",2,2,2,1,2,3,11,209.908403743479,10.351574095693,8
"run_1.rds",1,3,2,1,1,3,9,209.953208109471,10.396378461685,1
"run_185.rds",3,1,2,3,3,3,14,210.305579443281,10.748749795495,3
"run_98.rds",3,2,5,1,3,4,15,210.481456431151,10.924626783365,4
"run_95.rds",3,2,5,1,3,4,15,210.523061163442,10.966231515656,3
"run_97.rds",3,2,5,1,3,4,15,210.646682752001,11.089853104215,4
"run_108.rds",4,1,5,1,4,4,16,210.992380857904,11.435551210118,9
"run_103.rds",2,3,5,1,2,4,14,211.092081179919,11.535251532133,7
