"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_152.rds",3,2,"Catch",1,1,4,13,187.43212008659,0,4
"run_151.rds",3,2,"Catch",1,1,4,13,190.690135233467,3.258015146877,4
"run_70.rds",2,3,"Catch",3,2,4,16,191.593881528342,4.16176144175199,8
"run_98.rds",3,2,"Catch",1,3,4,15,192.414315977413,4.98219589082299,4
"run_80.rds",3,2,"Catch",3,3,4,17,192.916161002069,5.484040915479,4
"run_97.rds",3,2,"Catch",1,3,4,15,194.500142888821,7.06802280223098,4
"run_87.rds",2,3,"Catch",2,2,4,15,195.371445930431,7.939325843841,8
"run_160.rds",2,3,"Catch",1,1,4,13,195.680998620988,8.24887853439799,8
"run_106.rds",2,3,"Catch",1,2,4,14,195.782161500739,8.35004141414899,8
"run_159.rds",2,3,"Catch",1,1,4,13,196.101073921331,8.66895383474099,8
"run_107.rds",4,1,"Catch",1,4,4,16,197.446750188715,10.014630102125,9
"run_27.rds",4,0,"No covariates",1,4,3,12,197.488114378772,10.055994292182,9
"run_88.rds",2,3,"Catch",2,2,4,15,197.660486762949,10.228366676359,8
"run_105.rds",2,3,"Catch",1,2,4,14,198.140242404458,10.708122317868,8
"run_206.rds",3,1,"NAO",1,3,3,12,198.239347829584,10.807227742994,4
"run_62.rds",3,2,"Catch",6,3,4,20,198.940162267009,11.508042180419,4
"run_186.rds",3,1,"NAO",3,3,3,14,199.055837354386,11.623717267796,3
"run_102.rds",3,2,"Catch",1,3,4,15,199.071629721573,11.639509634983,6
"run_161.rds",4,1,"Catch",1,1,4,13,199.295422040926,11.863301954336,9
"run_69.rds",2,3,"Catch",3,2,4,16,199.49152041649,12.0594003299,8
"run_108.rds",4,1,"Catch",1,4,4,16,199.5499289818,12.11780889521,9
"run_12.rds",3,1,"No covariates",3,3,3,13,199.867950227945,12.435830141355,3
"run_204.rds",3,1,"NAO",1,3,3,12,200.409682756053,12.977562669463,3
"run_215.rds",4,0,"NAO",1,4,3,13,201.031776975463,13.599656888873,9
"run_150.rds",3,2,"Catch",1,1,4,13,201.708307139497,14.276187052907,3
"run_21.rds",3,1,"No covariates",1,3,3,11,202.001159866388,14.569039779798,3
"run_23.rds",2,2,"NAO",1,2,3,10,202.372055176737,14.939935090147,5
"run_203.rds",3,1,"NAO",1,3,3,12,202.414978567819,14.982858481229,3
"run_101.rds",3,2,"Catch",1,3,4,15,202.761772872128,15.329652785538,6
"run_132.rds",3,2,"Catch",3,1,4,15,203.760736682057,16.328616595467,3
"run_129.rds",3,2,NA,3,1,4,15,203.880763261383,16.448643174793,2
"run_147.rds",3,2,NA,1,1,4,13,204.363699310776,16.931579224186,2
"run_14.rds",2,2,"NAO",2,2,3,11,204.390716397408,16.958596310818,5
"run_153.rds",2,3,NA,1,1,4,13,204.759593177962,17.327473091372,5
"run_149.rds",3,2,"Catch",1,1,4,13,205.660447558661,18.228327472071,3
"run_208.rds",2,2,NA,1,2,3,11,205.85878289776,18.42666281117,5
"run_130.rds",3,2,NA,3,1,4,15,206.283591518849,18.851471432259,2
"run_190.rds",2,2,NA,2,2,3,12,206.522884041983,19.090763955393,5
"run_118.rds",2,3,NA,3,1,4,15,206.658726648957,19.226606562367,5
"run_111.rds",3,2,NA,6,1,4,18,206.777528131308,19.345408044718,2
"run_94.rds",3,2,NA,1,3,4,15,206.877605619339,19.445485532749,2
"run_148.rds",3,2,NA,1,1,4,13,207.234656201428,19.802536114838,2
"run_202.rds",3,1,NA,1,3,3,12,207.263440079144,19.831319992554,2
"run_20.rds",3,1,"NAO",1,3,3,11,207.309903993932,19.877783907342,2
"run_3.rds",3,1,"No covariates",6,3,3,16,207.832212769154,20.400092682564,3
"run_93.rds",3,2,NA,1,3,4,15,207.897280762806,20.465160676216,2
